d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:20: ---==== BEGIN ====---
d:\njit\senior\first semester\it276\git\consoleapplication1\src\gf2d_graphics.c:132: graphics initialized
d:\njit\senior\first semester\it276\git\consoleapplication1\src\gf2d_sprite.c:44: sprite system initialized
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 52.631580 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 52.631580 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 55.555557 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 52.631580 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 58.823528 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
d:\njit\senior\first semester\it276\git\consoleapplication1\src\game.c:65: Rendering at 62.500000 FPS
